,Open,High,Low,Close,Adj Close,Volume
2025-01-08,335.245,344.39,317.22,331.7,331.7,18274784
2025-01-10,330.31,337.0,317.91,327.91,327.91,16478719
2025-01-13,309.95,329.6,303.8,328.4,328.4,15914503
2025-01-14,343.0,354.9,331.3,342.17,342.17,17889530
2025-01-15,357.81,368.42,353.0129,360.62,360.62,19941337
2025-01-16,357.89,370.2588,345.8,367.0,367.0,14826626
2025-01-17,383.28,398.68,380.1528,396.5,396.5,24339148
2025-01-21,395.455,404.4173,367.76,389.1,389.1,26215758
2025-01-22,384.91,390.35,371.0498,377.31,377.31,16000314
2025-01-23,371.75,390.2,370.7,373.12,373.12,23306469
2025-01-24,377.665,378.11,351.0,353.67,353.67,22943783
2025-01-27,340.5,356.88,322.3,347.92,347.92,21224434
2025-01-28,344.68,348.9201,333.09,335.93,335.93,11461371
2025-01-29,338.195,343.63,329.33,341.25,341.25,11716796
2025-01-30,345.83,356.1147,338.5201,340.09,340.09,12607754
2025-01-31,340.11,352.71,332.0,334.79,334.79,15565985
2025-02-03,310.0,348.85,308.9,347.09,347.09,18207270
2025-02-04,341.195,353.79,340.45,348.31,348.31,12485965
2025-02-05,349.0,352.36,333.55,336.7,336.7,10973940
2025-02-06,338.7,344.5,320.71,325.46,325.46,12795184
2025-02-07,335.0,344.4,327.0,327.56,327.56,15049714
2025-02-10,333.5,340.38,328.3,334.62,334.62,10104081
2025-02-11,332.98,338.5,318.7,319.46,319.46,12017214
2025-02-12,315.96,331.17,314.19,326.82,326.82,9837883
2025-02-13,325.5,330.59,317.35,324.92,324.92,9848079
2025-02-14,325.15,344.89,323.7128,337.73,337.73,13912763
2025-02-18,337.35,340.49,326.785,333.97,333.97,10179752
2025-02-19,337.3,340.19,317.22,318.67,318.67,17043129
2025-02-20,323.73,327.83,314.95,323.92,323.92,12291749
2025-02-21,327.93,329.0,299.04,299.69,299.69,17930836
2025-02-24,304.0,304.04,276.395,282.76,282.76,17974948
2025-02-25,268.1,270.29,243.7,250.51,250.51,31379590
2025-02-26,245.39,264.46,244.01,263.27,263.27,19876850
2025-02-27,267.425,271.4552,239.48,240.05,240.05,18520303
2025-02-28,238.315,257.4999,231.92,255.43,255.43,22662629
2025-03-03,293.15,295.1,246.1,250.92,250.92,30575720
2025-03-04,240.28,293.04,237.0102,275.15,275.15,30130174
2025-03-05,278.305,311.28,271.77,308.55,308.55,26199769
2025-03-06,298.95,320.94,292.17,304.11,304.11,25309508
2025-03-07,298.145,310.44,281.44,287.18,287.18,22764487
2025-03-10,268.0,272.0,231.62,239.27,239.27,31190486
2025-03-11,245.0,263.0999,231.51,260.59,260.59,22076133
2025-03-12,264.6,269.7721,248.22,262.55,262.55,14328551
2025-03-13,262.0,270.405,253.76,263.26,263.26,13804685
2025-03-14,273.99,298.7,272.62,297.49,297.49,23714043
2025-03-17,292.15,296.8068,281.6,294.27,294.27,12998721
2025-03-18,283.2,290.99,272.5,283.19,283.19,15398200
2025-03-19,290.3,309.0832,287.12,304.23,304.23,19378788
2025-03-20,298.79,309.4,293.4,302.07,302.07,15058059
2025-03-21,295.7,306.39,293.0493,304.0,304.0,21773999
2025-03-24,316.14,336.77,311.36,335.72,335.72,23099744
2025-03-25,333.48,343.5899,329.5,341.81,341.81,15053724
2025-03-26,336.5,340.3399,319.73,329.31,329.31,16797178
2025-03-27,322.53,333.49,318.0,324.59,324.59,13838338
2025-03-28,318.38,320.8,289.25,289.41,289.41,21058915
2025-03-31,281.87,294.885,272.8,288.27,288.27,14866292
2025-04-01,293.53,307.6,280.6509,306.02,306.02,16780113
2025-04-02,297.86,319.47,296.98,312.54,312.54,16293825
2025-04-03,286.75,299.2249,276.03,282.28,282.28,18223003
2025-04-04,285.015,299.14,265.3022,293.61,293.61,24847129
2025-04-07,260.14,297.6,252.6,268.14,268.14,28449324
2025-04-08,278.15,282.8394,235.93,237.95,237.95,22952708
2025-04-09,242.015,302.34,241.69,296.86,296.86,38346353
